Unnamed: 0,Unnamed: 1,Prices are per MBF or 1000 board feet,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Grade,ItemDescription,TransactionDate,West,Central,East,SortID
#4,2x6,2024-04-04,185,165,195,2
#4,2x6,2024-04-11,185,170,200,2
#4,2x6,2024-04-18,185,170,200,2
#4,2x6,2024-04-25,185,165,200,2
#4,2x6,2024-05-02,185,165,200,2
#4,2x6,2024-05-09,185,170,205,2
#4,2x6,2024-05-16,185,170,205,2
#4,2x6,2024-05-30,185,175,205,2
#4,2x6,2024-06-06,185,175,205,2
#4,2x6,2024-06-13,185,170,205,2
#4,2x6,2024-06-20,185,165,205,2
#4,2x6,2024-06-27,180,160,200,2
#4,2x6,2024-07-04,180,160,200,2
#4,2x6,2024-07-11,180,160,200,2
#4,2x6,2024-07-18,180,165,200,2
#4,2x6,2024-07-25,180,165,200,2
#4,2x6,2024-08-01,180,165,205,2
#4,2x6,2024-08-08,180,165,205,2
#4,2x6,2024-08-15,180,165,205,2
#4,2x6,2024-08-22,180,170,205,2
#4,2x6,2024-08-29,180,170,205,2
#4,2x6,2024-09-05,180,170,205,2
#4,2x6,2024-09-12,180,170,205,2
#4,2x6,2024-09-20,185,175,210,2
#4,2x6,2024-09-27,195,175,215,2
#4,2x6,2024-10-04,205,175,220,2
#4,2x6,2024-10-11,215,180,225,2
#4,2x6,2024-10-18,220,195,235,2
#4,2x6,2024-10-25,225,200,240,2
#4,2x6,2024-11-01,235,215,250,2
#4,2x6,2024-11-08,235,220,260,2
#4,2x6,2024-11-15,235,220,265,2
#4,2x6,2024-11-22,235,220,265,2
#4,2x6,2024-11-27,235,220,270,2
#4,2x6,2024-12-06,235,220,275,2
#4,2x6,2024-12-13,235,220,275,2
#4,2x6,2024-12-20,235,225,275,2
#4,2x6,2025-01-03,235,230,280,2
#4,2x6,2025-01-10,235,235,285,2
#4,2x6,2025-01-17,235,245,285,2
#4,2x6,2025-01-24,235,250,290,2
#4,2x6,2025-01-31,245,260,295,2
#4,2x6,2025-02-07,245,260,305,2
#4,2x6,2025-02-14,250,275,315,2
#4,2x6,2025-02-21,260,285,320,2
#4,2x6,2025-02-28,270,300,330,2
#4,2x6,2025-03-07,275,305,340,2
#4,2x6,2025-03-14,285,305,345,2
#4,2x6,2025-03-21,295,305,345,2
#4,2x6,2025-03-28,305,305,345,2
#4,2x6,2025-04-04,310,305,335,2
#4,2x6,2025-04-11,315,310,320,2
#4,2x6,2025-04-18,320,310,310,2
#4,2x6,2025-04-25,310,310,305,2
#4,2x6,2025-05-02,305,310,300,2
#4,2x6,2025-05-09,295,295,290,2
#4,2x6,2025-05-16,285,265,270,2
#4,2x6,2025-05-23,255,240,250,2
#4,2x6,2025-05-30,225,235,235,2
#4,2x6,2025-06-06,215,220,220,2
#4,2x6,2025-06-13,195,215,215,2
#4,2x6,2025-06-19,190,210,205,2
#4,2x6,2025-06-27,180,200,200,2
#4,2x6,2025-07-03,180,200,200,2
#4,2x6,2025-07-11,180,190,200,2
#4,2x6,2025-07-18,175,190,200,2
#4,2x6,2025-07-25,170,190,200,2
#4,2x6,2025-08-01,170,190,200,2
#4,2x6,2025-08-08,170,185,200,2
#4,2x6,2025-08-15,170,185,200,2
#4,2x6,2025-08-22,170,180,200,2
#4,2x6,2025-08-29,165,175,200,2
#4,2x6,2025-09-05,165,175,200,2
#4,2x6,2025-09-12,165,170,200,2
#4,2x6,2025-09-19,165,170,200,2
#4,2x6,2025-09-26,165,170,205,2
#4,2x6,2025-10-03,165,170,205,2
#4,2x6,2025-10-10,165,170,205,2
#4,2x6,2025-10-17,165,180,205,2
#4,2x8,2024-01-12,165,190,200,3
#4,2x8,2024-01-18,165,190,200,3
#4,2x8,2024-01-25,165,190,200,3
#4,2x8,2024-02-08,165,190,205,3
#4,2x8,2024-02-15,165,190,205,3
#4,2x8,2024-02-22,170,190,205,3
#4,2x8,2024-02-29,175,190,205,3
#4,2x8,2024-03-07,180,195,205,3
#4,2x8,2024-03-14,180,195,205,3
#4,2x8,2024-03-21,185,195,205,3
#4,2x8,2024-03-28,185,195,205,3
#4,2x8,2024-04-04,185,195,205,3
#4,2x8,2024-04-11,185,200,210,3
#4,2x8,2024-04-18,185,200,210,3
#4,2x8,2024-04-25,185,200,210,3
#4,2x8,2024-05-02,185,195,210,3
#4,2x8,2024-05-09,185,200,210,3
#4,2x8,2024-05-16,185,200,210,3
#4,2x8,2024-05-30,185,200,210,3
#4,2x8,2024-06-06,185,200,210,3
#4,2x8,2024-06-13,185,195,210,3
#4,2x8,2024-06-20,185,190,210,3
#4,2x8,2024-06-27,185,190,210,3
#4,2x8,2024-07-04,185,190,210,3
#4,2x8,2024-07-11,185,190,210,3
#4,2x8,2024-07-18,185,190,210,3
#4,2x8,2024-07-25,185,190,210,3
#4,2x8,2024-08-01,185,190,210,3
#4,2x8,2024-08-08,185,190,210,3
#4,2x8,2024-08-15,185,190,210,3
#4,2x8,2024-08-22,185,190,210,3
#4,2x8,2024-08-29,185,190,210,3
#4,2x8,2024-09-05,185,190,210,3
#4,2x8,2024-09-12,185,190,210,3
#4,2x8,2024-09-20,185,190,210,3
#4,2x8,2024-09-27,195,190,215,3
#4,2x8,2024-10-04,200,190,220,3
#4,2x8,2024-10-11,210,195,225,3
#4,2x8,2024-10-18,215,205,235,3
#4,2x8,2024-10-25,220,210,240,3
#4,2x8,2024-11-01,225,215,240,3
#4,2x8,2024-11-08,225,220,245,3
#4,2x8,2024-11-15,225,220,250,3
#4,2x8,2024-11-22,225,220,250,3
#4,2x8,2024-11-27,225,220,255,3
#4,2x8,2024-12-06,225,220,260,3
#4,2x8,2024-12-13,225,220,260,3
#4,2x8,2024-12-20,225,225,265,3
#4,2x8,2025-01-03,225,225,270,3
#4,2x8,2025-01-10,225,230,275,3
#4,2x8,2025-01-17,225,235,280,3
#4,2x8,2025-01-24,225,240,285,3
#4,2x8,2025-01-31,225,245,285,3
#4,2x8,2025-02-07,230,250,290,3
#4,2x8,2025-02-14,235,260,300,3
#4,2x8,2025-02-21,240,265,305,3
#4,2x8,2025-02-28,250,275,310,3
#4,2x8,2025-03-07,260,280,310,3
#4,2x8,2025-03-14,270,280,315,3
#4,2x8,2025-03-21,280,285,315,3
#4,2x8,2025-03-28,290,285,320,3
#4,2x8,2025-04-04,295,285,320,3
#4,2x8,2025-04-11,300,285,320,3
#4,2x8,2025-04-18,310,285,320,3
#4,2x8,2025-04-25,310,285,315,3
#4,2x8,2025-05-02,310,285,315,3
#4,2x8,2025-05-09,305,280,300,3
#4,2x8,2025-05-16,300,270,290,3
#4,2x8,2025-05-23,285,260,280,3
#4,2x8,2025-05-30,260,255,270,3
#4,2x8,2025-06-06,240,245,250,3
#4,2x8,2025-06-13,220,240,250,3
#4,2x8,2025-06-19,210,235,235,3
#4,2x8,2025-06-27,205,230,225,3
#4,2x8,2025-07-03,205,230,225,3
#4,2x8,2025-07-11,205,225,225,3
#4,2x8,2025-07-18,200,220,225,3
#4,2x8,2025-07-25,200,220,225,3
#4,2x8,2025-08-01,200,220,225,3
#4,2x8,2025-08-08,200,215,225,3
#4,2x8,2025-08-15,200,215,225,3
#4,2x8,2025-08-22,200,210,225,3
#4,2x8,2025-08-29,200,205,225,3
#4,2x8,2025-09-05,200,205,225,3
#4,2x8,2025-09-12,190,205,225,3
#4,2x8,2025-09-19,190,205,225,3
#4,2x8,2025-09-26,190,205,225,3
#4,2x8,2025-10-03,190,205,205,3
#4,2x8,2025-10-10,190,225,225,3
#4,2x8,2025-10-17,190,215,225,3
#3,2x10 #3,2024-01-12,190,195,230,10
#3,2x10 #3,2024-01-18,190,195,225,10
#3,2x10 #3,2024-01-25,190,190,225,10
#3,2x10 #3,2024-02-08,190,190,225,10
#3,2x10 #3,2024-02-15,190,190,225,10
#3,2x10 #3,2024-02-22,195,195,225,10
#3,2x10 #3,2024-02-29,200,195,225,10
#3,2x10 #3,2024-03-07,205,200,235,10
#3,2x10 #3,2024-03-14,205,205,240,10
#3,2x10 #3,2024-03-21,210,205,245,10
#3,2x10 #3,2024-03-28,210,205,245,10
#3,2x10 #3,2024-04-04,210,210,245,10
#3,2x10 #3,2024-04-11,210,210,245,10
#3,2x10 #3,2024-04-18,210,215,245,10
#3,2x10 #3,2024-04-25,215,215,245,10
#3,2x10 #3,2024-05-02,215,215,245,10
#3,2x10 #3,2024-05-09,220,220,245,10
#3,2x10 #3,2024-05-16,225,225,245,10
#3,2x10 #3,2024-05-30,230,225,250,10
#3,2x10 #3,2024-06-06,230,225,250,10
#3,2x10 #3,2024-06-13,230,225,250,10
#3,2x10 #3,2024-06-20,230,220,250,10
#3,2x10 #3,2024-06-27,225,220,245,10
#3,2x10 #3,2024-07-04,225,220,245,10
#3,2x10 #3,2024-07-11,225,220,245,10
#3,2x10 #3,2024-07-18,225,220,245,10
#3,2x10 #3,2024-07-25,225,220,245,10
#3,2x10 #3,2024-08-01,225,220,245,10
#3,2x10 #3,2024-08-08,225,220,245,10
#3,2x10 #3,2024-08-15,225,220,245,10
#3,2x10 #3,2024-08-22,225,220,245,10
#3,2x10 #3,2024-08-29,225,220,245,10
#3,2x10 #3,2024-09-05,225,220,245,10
#3,2x10 #3,2024-09-12,225,220,245,10
#3,2x10 #3,2024-09-20,225,220,245,10
#3,2x10 #3,2024-09-27,225,220,245,10
#3,2x10 #3,2024-10-04,225,220,250,10
#3,2x10 #3,2024-10-11,225,220,250,10
#3,2x10 #3,2024-10-18,235,220,250,10
#3,2x10 #3,2024-10-25,245,230,255,10
#3,2x10 #3,2024-11-01,245,230,260,10
