Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"CAMDEN, TX → SILSBEE, TX",3,2.0,7.415384615384615,65.0
"FULTON, MS → TUSCUMBIA, AL",5,10.8,7.408450704225352,71.0
"BRUCE, MS → BOLIVAR, TN",4,2.75,7.37938596491228,114.0
"MAPLESVILLE, AL → BIRMINGHAM, AL",3,2.0,7.357142857142857,70.0
"ARLINGTON, TX → ENNIS, TX",1,10.0,7.351851851851852,54.0
"BRYAN, TX → TEMPLE, TX",20,4.65,7.320112470862469,78.5
"OPELIKA, AL → RANBURNE, AL",4,5.25,7.314814814814815,81.0
"DIBOLL, TX → HENDERSON, TX",2,1.0,7.285714285714286,70.0
"TAYLOR, LA → SHREVEPORT, LA",5,2.0,7.272727272727273,66.0
"WOODVILLE, MS → RESERVE, LA",1,1.0,7.216981132075472,106.0
"SALEM, AR → SEARCY, AR",1,1.0,7.207207207207207,111.0
"CORINTH, MS → TUSCUMBIA, AL",2,1.0,7.203389830508475,59.0
"RIDGEWAY, VA → ROANOKE, VA",1,0.0,7.184615384615385,65.0
"VANCE, AL → BIRMINGHAM, AL",2,2.5,7.120445344129554,45.0
"BIRMINGHAM, AL → NORTHPORT, AL",1,4.0,7.101449275362318,69.0
"BIRMINGHAM, AL → BELLE MINA, AL",2,2.0,7.09375,80.0
"BIRMINGHAM, AL → TRINITY, AL",2,11.0,7.091463414634147,82.0
"BIRMINGHAM, AL → CENTREVILLE, AL",3,8.666666666666666,7.083333333333333,60.0
"ALBANY, GA → DOUGLAS, GA",1,6.0,7.0588235294117645,85.0
"HALFWAY, MO → KANSAS CITY, MO",1,6.0,7.02054794520548,146.0
"BRUCE, MS → MIDDLETON, TN",22,12.136363636363637,7.014235764235764,91.0
"BRYAN, TX → WALLER, TX",6,4.0,6.988095238095238,70.0
"BARNESVILLE, GA → MC INTYRE, GA",1,3.0,6.986301369863014,73.0
"NORTHPORT, AL → BIRMINGHAM, AL",1,1.0,6.975797101449275,69.0
"DERIDDER, LA → PORT NECHES, TX",2,3.5,6.971153846153847,104.0
"PINELAND, TX → SILSBEE, TX",38,3.1315789473684212,6.9703484062268375,71.0
"BRYAN, TX → SELMA, TX",7,0.0,6.944444444444444,144.0
"TALLADEGA, AL → ACWORTH, GA",6,1.3333333333333333,6.9338422391857515,131.0
"BIRMINGHAM, AL → DECATUR, AL",24,3.0416666666666665,6.90883895131086,89.0
"TALLADEGA, AL → BLOUNTSVILLE, AL",1,1.0,6.891891891891892,74.0
"IDABEL, OK → BONHAM, TX",5,2.4,6.869204301075269,93.0
"IDABEL, OK → SHERMAN, TX",2,6.5,6.818181818181818,121.0
"BRYAN, TX → WAELDER, TX",2,5.5,6.804123711340207,97.0
"GURDON, AR → MT PLEASANT, TX",1,0.0,6.8,125.0
"DIERKS, AR → FT. SMITH, AR",3,12.0,6.790123456790124,135.0
"BRUCE, MS → SELMER, TN",1,6.0,6.776859504132231,121.0
"ACKERMAN, MS → GORDO, AL",1,4.0,6.761363636363637,88.0
"CORINTH, MS → MEMPHIS, TN",9,5.777777777777778,6.740108229671798,94.0
"MILLPORT, AL → HALEYVILLE, AL",3,1.6666666666666667,6.732394366197183,71.0
"MOUNDVILLE, AL → COLUMBUS, MS",1,6.0,6.730769230769231,78.0
"TALLADEGA, AL → DULUTH, GA",6,6.333333333333333,6.716417910447761,134.0
"BRYAN, TX → MEXIA, TX",17,3.588235294117647,6.6876750700280105,84.0
"THOMASTON, GA → MC INTYRE, GA",1,1.0,6.666666666666667,90.0
"BRYAN, TX → BELLVILLE, TX",7,2.7142857142857144,6.655844155844156,66.0
"ROME, GA → EAST POINT, GA",2,1.0,6.625,80.0
"FORT PAYNE, AL → BIRMINGHAM, AL",18,2.5,6.594104308390022,98.0
"VANDERBILT, TX → NIEDERWALD, TX",1,5.0,6.589147286821706,129.0
"ACKERMAN, MS → WALNUT, MS",1,3.0,6.587301587301587,126.0
"MOUNDVILLE, AL → BIRMINGHAM, AL",27,1.962962962962963,6.574752457226067,81.44444444444444
"DIERKS, AR → MT PLEASANT, TX",2,3.0,6.542056074766355,107.0
"BIRMINGHAM, AL → FLINTVILLE, TN",7,2.0,6.521264994547437,131.0
"TAYLOR, LA → KILGORE, TX",1,2.0,6.481481481481482,108.0
"BRYAN, TX → PFLUGERVILLE, TX",40,3.5,6.414516129032253,93.0
"BRYAN, TX → SUTHERLAND SPRINGS, TX",1,0.0,6.410256410256411,156.0
"DALLAS, TX → DURANT, OK",6,2.5,6.408464539305661,107.66666666666667
"BIRMINGHAM, AL → FORT PAYNE, AL",29,2.586206896551724,6.386347642505277,98.0
"LIVINGSTON, TX → HENDERSON, TX",2,3.0,6.377876663070838,105.5
"EATONTON, GA → WELLFORD, SC",1,6.0,6.358381502890174,173.0
"BIRMINGHAM, AL → MOUNDVILLE, AL",26,3.923076923076923,6.357987804878048,82.0
"CAMDEN, TX → HOUSTON, TX",8,2.75,6.356197682268226,89.625
"ATOKA, OK → OKLAHOMA CITY, OK",6,2.1666666666666665,6.3559322033898304,118.0
"ZWOLLE, LA → BUNKIE, LA",1,1.0,6.3559322033898304,118.0
"RUSSELLVILLE, AR → BENTON, AR",1,1.0,6.355274725274726,91.0
"ALBANY, GA → WILLACOOCHEE, GA",1,0.0,6.343283582089552,67.0
"DIBOLL, TX → BULLARD, TX",2,1.5,6.329113924050633,79.0
"COUSHATTA, LA → JACKSONVILLE, TX",1,1.0,6.299212598425197,127.0
"RIPLEY, MS → HALEYVILLE, AL",1,4.0,6.25,112.0
"ENNIS, TX → WACO, TX",1,1.0,6.25,76.0
"MILLPORT, AL → NORTHPORT, AL",1,4.0,6.25,56.0
"BRYAN, TX → GRAPELAND, TX",1,6.0,6.25,96.0
"HAZLEHURST, GA → MC INTYRE, GA",2,5.0,6.223958333333333,96.0
"MIDDLEFIELD, OH → WESTERVILLE, OH",1,1.0,6.219512195121951,164.0
"FORT WORTH, TX → DUNCAN, OK",1,1.0,6.204379562043796,137.0
"JASPER, AL → BRENT, AL",1,1.0,6.195652173913044,92.0
"BIRMINGHAM, AL → CARROLLTON, GA",2,4.0,6.182608695652174,115.0
"TALLADEGA, AL → EAST POINT, GA",1,1.0,6.181818181818182,110.0
"ROME, GA → DULUTH, GA",1,7.0,6.179775280898877,89.0
"BRYAN, TX → LORENA, TX",1,5.0,6.172839506172839,81.0
"BRYAN, TX → AUSTIN, TX",12,2.9166666666666665,6.150010552975939,96.58333333333333
"CORINTH, MS → ABERDEEN, MS",1,13.0,6.104651162790698,86.0
"SUMMERTOWN, TN → RAINBOW CITY, AL",1,1.0,6.089743589743589,156.0
"BRYAN, TX → RICHMOND, TX",7,0.2857142857142857,6.086956521739132,115.0
"BRYAN, TX → MAXWELL, TX",1,1.0,6.074766355140187,107.0
"ENNIS, TX → FORT WORTH, TX",3,6.0,6.048387096774195,62.0
"LUMBERTON, MS → LA PLACE, LA",1,7.0,6.036036036036036,111.0
"IDABEL, OK → AMITY, AR",1,6.0,6.018518518518518,108.0
"IDABEL, OK → HENDERSON, TX",2,5.0,6.018518518518518,135.0
"MAGNOLIA, AR → BENTON, AR",1,11.0,6.0,125.0
"MILLPORT, AL → TUSCUMBIA, AL",2,1.5,5.980392156862745,102.0
"GLENWOOD, AR → POTTSVILLE, AR",2,7.5,5.957943925233645,107.0
"RIPLEY, MS → TUSCUMBIA, AL",1,3.0,5.9523809523809526,84.0
"FLORIEN, LA → WASKOM, TX",1,1.0,5.9405940594059405,101.0
"TAYLOR, LA → HENDERSON, TX",21,3.8095238095238093,5.9198209198209195,117.0
"CARTHAGE, TX → GROVETON, TX",1,4.0,5.915754716981133,106.0
"HEARNE, TX → KYLE, TX",1,1.0,5.909090909090909,110.0
"BIRMINGHAM, AL → IUKA, MS",3,8.333333333333334,5.902380952380952,140.0
"ACKERMAN, MS → MEMPHIS, TN",2,2.5,5.897435897435898,156.0
"POLLOK, TX → SCOTTSVILLE, TX",1,1.0,5.891089108910891,101.0
"BRYAN, TX → TAYLOR, TX",1,7.0,5.882352941176471,68.0
"NACOGDOCHES, TX → JEWETT, TX",1,6.0,5.882352941176471,102.0
"PINELAND, TX → HENDERSON, TX",21,2.5714285714285716,5.839412360688955,94.0
"BIRMINGHAM, AL → JONESBORO, GA",1,1.0,5.838323353293413,167.0
"BRUCE, MS → CORINTH, MS",1,2.0,5.833333333333333,102.0
"GURDON, AR → MOUNT PLEASANT, TX",1,0.0,5.833333333333333,126.0
"PERRY, GA → EAST POINT, GA",5,1.2,5.822429906542056,107.0
"WALDO, AR → BULLARD, TX",1,2.0,5.801104972375691,181.0
"BIRMINGHAM, AL → FAYETTEVILLE, TN",5,2.4,5.7936507936507935,126.0
"BRYAN, TX → CORSICANA, TX",8,3.25,5.779208333333333,120.0
"TALLADEGA, AL → NORTHPORT, AL",3,0.6666666666666666,5.778787878787878,110.0
"BRYAN, TX → WACO, TX",36,3.6666666666666665,5.777567340067339,102.5
"BIRMINGHAM, AL → ELORA, TN",7,5.428571428571429,5.767991407089151,133.0
"BIRMINGHAM, AL → FULTON, MS",4,3.0,5.76219512195122,123.0
"CARROLLTON, GA → TOCCOA, GA",8,6.75,5.760489510489512,143.0
"BRYAN, TX → SEGUIN, TX",24,4.25,5.75365990990991,148.0
"CORINTH, MS → HALEYVILLE, AL",12,3.8333333333333335,5.746699669966997,101.0
"ACKERMAN, MS → NORTHPORT, AL",1,2.0,5.7207207207207205,111.0
"ENNIS, TX → GRAND PRAIRIE, TX",8,5.25,5.71933962264151,53.0
"HOLDEN, LA → GULFPORT, MS",1,1.0,5.714285714285714,105.0
"DIBOLL, TX → SILSBEE, TX",10,3.9,5.691954022988506,87.0
"PINELAND, TX → JACKSONVILLE, TX",10,2.6,5.677363636363637,110.0
"BIRMINGHAM, AL → MANTACHIE, MS",1,4.0,5.674603174603175,126.0
"GURDON, AR → SCAMMON, KS",1,1.0,5.655526992287918,389.0
"DODSON, LA → SHREVEPORT, LA",1,5.0,5.6521739130434785,115.0
"THOMASVILLE, AL → NORTHPORT, AL",2,1.0,5.65126050420168,119.0
"BRYAN, TX → SAN ANTONIO, TX",26,2.1538461538461537,5.639721790717066,163.23076923076923
"MILLPORT, AL → BIRMINGHAM, AL",22,1.2727272727272727,5.614682598550522,106.68181818181819
"BIRMINGHAM, AL → EAST POINT, GA",3,2.0,5.611111111111111,150.0
"BRUCE, MS → TUSCUMBIA, AL",4,2.25,5.602517985611511,139.0
"BRYAN, TX → HUMBLE, TX",6,0.8333333333333334,5.602240896358544,119.0
"WILKESBORO, NC → WELLFORD, SC",1,2.0,5.597014925373134,134.0
"AUGUSTA, GA → TOCCOA, GA",1,6.0,5.597014925373134,134.0
"FORT WORTH, TX → DURANT, OK",1,1.0,5.56390977443609,133.0
"JASPER, AL → ATLANTA, GA",1,2.0,5.555555555555555,180.0
"CORINTH, MS → OLIVE BRANCH, MS",3,6.666666666666667,5.5555555555555545,87.0
"MAGNOLIA, MS → SLIDELL, LA",1,10.0,5.543478260869565,92.0
"GURDON, AR → SCOTTSVILLE, TX",2,1.5,5.535714285714286,140.0
"BRYAN, TX → TOMBALL, TX",3,4.0,5.531914893617021,94.0
"CARRSVILLE, KY → LITCHFIELD, IL",1,5.0,5.529953917050691,217.0
"BIRMINGHAM, AL → RINGGOLD, GA",1,9.0,5.521472392638037,163.0
"PINELAND, TX → PORT NECHES, TX",18,4.722222222222222,5.5070118662351675,103.0
"WAYNESBORO, MS → NORTHPORT, AL",1,1.0,5.496688741721854,151.0
