Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"PRESTON, GA → TOCCOA, GA",1,7.0,3.9591836734693877,245.0
"TAYLORSVILLE, MS → HALLS, TN",5,2.6,3.9570149253731346,335.0
"ELORA, TN → BIRMINGHAM, AL",1,1.0,3.9568345323741005,139.0
"FLORIEN, LA → LA PORTE, TX",10,3.7,3.9545454545454546,209.0
"DIBOLL, TX → FORT WORTH, TX",2,3.5,3.953488372093023,215.0
"OLLA, LA → DENTON, TX",3,2.6666666666666665,3.953279424977538,371.0
"POLLOK, TX → FORT WORTH, TX",1,4.0,3.9473684210526314,190.0
"IDABEL, OK → ENNIS, TX",4,2.25,3.945852534562212,217.0
"SILVER CREEK, MS → FT WORTH, TX",2,2.5,3.9447731755424065,507.0
"PLUMERVILLE, AR → GUTHRIE, OK",1,1.0,3.94375,320.0
"BIRMINGHAM, AL → SHEPHERDSVILLE, KY",2,4.0,3.9417613636363638,352.0
"BRUCE, MS → ACWORTH, GA",5,10.6,3.9387186629526463,359.0
"IDABEL, OK → GUTHRIE, OK",1,15.0,3.937007874015748,254.0
"CORINTH, MS → MC INTYRE, GA",2,1.0,3.9325842696629216,445.0
"COLUMBUS, MS → MEMPHIS, TN",1,3.0,3.932584269662921,178.0
"CORINTH, MS → CHATTANOOGA, TN",1,3.0,3.930131004366812,229.0
"CORINTH, MS → NASHVILLE, TN",8,6.0,3.929521276595744,188.0
"BELK, AL → EAST POINT, GA",1,5.0,3.9285714285714284,238.0
"FLORIEN, LA → GRAND PRAIRIE, TX",1,1.0,3.9285714285714284,280.0
"OLLA, LA → BRYAN, TX",7,7.142857142857143,3.9285714285714284,300.0
"BAY SPRINGS, MS → SOMERSET, KY",1,3.0,3.9285714285714284,560.0
"DIERKS, AR → ALVARADO, TX",1,1.0,3.9272030651340994,261.0
"DEQUINCY, LA → HENDERSON, TX",1,5.0,3.923076923076923,195.0
"ACKERMAN, MS → WHITEVILLE, TN",1,1.0,3.923076923076923,195.0
"BAXLEY, GA → EAST POINT, GA",1,1.0,3.9215686274509802,204.0
"DIERKS, AR → WHITESBORO, TX",1,3.0,3.9215686274509802,204.0
"SALEM, AR → SAINT JOSEPH, MO",1,13.0,3.918918918918919,370.0
"TAYLOR, LA → DALLAS, TX",51,2.9215686274509802,3.9184245704314913,223.6078431372549
"PINELAND, TX → ENNIS, TX",8,1.625,3.917910447761194,201.0
"PINELAND, TX → LA PORTE, TX",1,0.0,3.9156626506024095,166.0
"FOREST, MS → HALEYVILLE, AL",9,6.111111111111111,3.9131782945736435,215.0
"MOUNDVILLE, AL → CHICKAMAUGA, GA",1,5.0,3.9130434782608696,230.0
"WINNFIELD, LA → PORT ALLEN, LA",1,1.0,3.911764705882353,170.0
"VICKSBURG, MS → ABERDEEN, MS",1,1.0,3.9069767441860463,215.0
"TAYLOR, LA → GROVETON, TX",2,1.0,3.9046391752577323,194.0
"GURDON, AR → CONROE, TX",1,6.0,3.903903903903904,333.0
"TAYLOR, LA → BRYAN, TX",14,3.5714285714285716,3.903855079938112,277.0
"COUSHATTA, LA → ENNIS, TX",1,3.0,3.9029535864978904,237.0
"OLLA, LA → HENDERSON, TX",22,10.363636363636363,3.9021915584415585,224.0
"CHAPMAN, AL → ATHENS, GA",1,1.0,3.8945578231292517,294.0
"PHILADELPHIA, MS → FORT PAYNE, AL",1,2.0,3.8869257950530036,283.0
"OLLA, LA → MOUNT PLEASANT, TX",4,9.0,3.885135135135135,259.0
"CADDO MILLS, TX → LOTT, TX",3,4.666666666666667,3.8833333333333333,180.0
"GLOSTER, MS → DALLAS, TX",16,2.625,3.8815331608147585,352.875
"BRYAN, TX → LEWISVILLE, TX",8,3.5,3.879830917874396,207.0
"ACKERMAN, MS → CHATTANOOGA, TN",2,7.5,3.8793103448275863,319.0
"ACKERMAN, MS → PORT NECHES, TX",1,7.0,3.8793103448275863,464.0
"BIRMINGHAM, AL → PIEDMONT, SC",2,3.0,3.8763066202090597,287.0
"RISON, AR → PARK CITY, KS",1,9.0,3.875968992248062,516.0
"WAYNESBORO, MS → FLORIEN, LA",1,1.0,3.874984709480122,327.0
"TALLADEGA, AL → MOSCOW, TN",1,4.0,3.874538745387454,271.0
"MOUNDVILLE, AL → SOMERSET, KY",3,4.666666666666667,3.87243735763098,439.0
"VICKSBURG, MS → SELMER, TN",1,2.0,3.870967741935484,310.0
"PHILADELPHIA, MS → ATLANTA, GA",1,1.0,3.869969040247678,323.0
"TAYLOR, LA → SILSBEE, TX",23,4.608695652173913,3.868792270531401,225.0
"STRONG, AR → BRENHAM, TX",1,4.0,3.8666666666666667,375.0
"FULTON, AL → CROSSVILLE, TN",1,1.0,3.865336658354115,401.0
"ZWOLLE, LA → BRYAN, TX",1,8.0,3.864734299516908,207.0
"DIBOLL, TX → CROWLEY, TX",1,3.0,3.8636363636363638,220.0
"ALBERTVILLE, AL → MC INTYRE, GA",1,4.0,3.8636363636363638,264.0
"BRUCE, MS → JEWETT, TX",1,3.0,3.860294117647059,544.0
"POLLOK, TX → SEGUIN, TX",5,1.0,3.85803137254902,255.0
"MOUNDVILLE, AL → CROSSVILLE, TN",1,6.0,3.8580246913580245,324.0
"BRYAN, TX → BOWIE, TX",12,3.5,3.853734439834025,241.0
"CORINTH, MS → DALLAS, TX",1,1.0,3.8530465949820787,558.0
"FULTON, MS → BLYTHEVILLE, AR",7,5.285714285714286,3.8519345238095246,192.0
"MILLPORT, AL → EAST POINT, GA",2,2.0,3.849809885931559,263.0
"TAYLOR, LA → CROWLEY, TX",2,1.0,3.8461538461538463,273.0
"LIVINGSTON, TX → ALTO, TX",1,5.0,3.8461538461538463,78.0
"BUCKS, AL → DULUTH, GA",1,7.0,3.8461538461538463,351.0
"MILLPORT, AL → FAYETTEVILLE, TN",1,6.0,3.8461538461538463,182.0
"MILLPORT, AL → PULASKI, TN",1,3.0,3.84180790960452,177.0
"GURDON, AR → LA PORTE, TX",7,3.5714285714285716,3.841698841698842,370.0
"TAYLOR, LA → DENTON, TX",2,3.0,3.841328413284133,271.0
"MAGNOLIA, MS → PORT NECHES, TX",20,8.65,3.8406593406593403,273.0
"ACKERMAN, MS → TULSA, OK",1,4.0,3.8392857142857144,560.0
"BIRMINGHAM, AL → VERO BEACH, FL",2,2.5,3.837719298245614,684.0
"PHILADELPHIA, MS → TUSCUMBIA, AL",6,3.0,3.8372093023255816,215.0
"TAYLOR, LA → STRAFFORD, MO",1,6.0,3.8369304556354917,417.0
"HOUSTON, TX → WAXAHACHIE, TX",4,4.5,3.833333333333333,225.0
"VICKSBURG, MS → MONTGOMERY, AL",1,1.0,3.832752613240418,287.0
"JOYCE, LA → BRYAN, TX",1,6.0,3.832116788321168,274.0
"CORINTH, MS → BIRMINGHAM, AL",7,2.5714285714285716,3.8310959065707206,174.71428571428572
"FULTON, MS → SCAMMON, KS",2,9.5,3.831041257367387,509.0
"TALLADEGA, AL → CANTONMENT, FL",1,1.0,3.828828828828829,222.0
"PHILADELPHIA, MS → EATONTON, GA",1,8.0,3.827751196172249,418.0
"NAVASOTA, TX → SNYDER, TX",1,2.0,3.825857519788918,379.0
"SUMMERSVILLE, MO → MONROE, LA",1,2.0,3.8257575757575757,396.0
"CORINTH, MS → SAINT ROSE, IL",8,5.25,3.8233024691358026,324.0
"BRYAN, TX → GRAND PRAIRIE, TX",22,3.227272727272727,3.823179438362685,191.0
"FOREST, MS → DENTON, TX",2,1.5,3.822314049586777,484.0
"DODSON, LA → LA PORTE, TX",1,2.0,3.8194444444444446,288.0
"BRYAN, TX → BALLINGER, TX",17,5.823529411764706,3.8188212316176475,256.0
"CARTHAGE, AR → HOUSTON, TX",7,13.285714285714286,3.817632950990615,411.0
"TAYLOR, LA → SAGINAW, TX",8,5.5,3.8163919413919416,273.0
"ROME, GA → SELMER, TN",2,2.0,3.816326530612245,245.0
"SALEM, MO → LITCHFIELD, IL",1,1.0,3.8157894736842106,190.0
"MILLPORT, AL → RANBURNE, AL",25,7.0,3.8138536585365856,205.0
"DIERKS, AR → IRVING, TX",2,5.5,3.813559322033899,236.0
"FLORIEN, LA → DALLAS, TX",4,1.5,3.8115530303030307,264.0
"NEW BOSTON, TX → SAGINAW, TX",1,9.0,3.8071065989847717,197.0
"NACOGDOCHES, TX → LUBBOCK, TX",5,2.4,3.8049999999999997,520.0
"TAYLOR, LA → LOTT, TX",2,3.0,3.8006756756756754,296.0
"VANCE, AL → WEBB, AL",2,4.0,3.7995594713656384,227.0
"CARTHAGE, AR → DENTON, TX",2,5.0,3.7993920972644375,329.0
"PHILADELPHIA, MS → FLINTVILLE, TN",3,7.0,3.79746835443038,316.0
"CORINTH, MS → RANBURNE, AL",5,9.2,3.796992481203008,266.0
"PLUMERVILLE, AR → OKLAHOMA CITY, OK",3,3.3333333333333335,3.796803652968037,292.0
"TAYLORSVILLE, MS → IUKA, MS",2,3.0,3.7962962962962963,270.0
"OLLA, LA → HEARNE, TX",3,7.666666666666667,3.7953795379537953,303.0
"GURDON, AR → IRVING, TX",8,2.25,3.795098039215686,255.0
"OLLA, LA → SPRINGFIELD, MO",2,4.0,3.794642857142857,448.0
"KINARDS, SC → SOMERSET, KY",1,3.0,3.794642857142857,336.0
"MILLPORT, AL → TOWNVILLE, SC",2,9.5,3.794037940379404,369.0
"BIRMINGHAM, AL → MONROE, NC",2,6.0,3.7914691943127963,422.0
"ACKERMAN, MS → TOCCOA, GA",2,7.5,3.7897310513447433,409.0
"MAGNOLIA, MS → SELMER, TN",1,3.0,3.7896253602305476,347.0
"TAYLOR, LA → GRAND PRAIRIE, TX",4,5.0,3.7895866095626864,245.75
"TAYLOR, LA → FT. SMITH, AR",2,7.5,3.787878787878788,330.0
"MERIDIAN, MS → CROSSVILLE, TN",1,5.0,3.787878787878788,396.0
"BIRMINGHAM, AL → AUBURN, KY",1,3.0,3.785425101214575,247.0
"PLUMERVILLE, AR → KILGORE, TX",1,2.0,3.785211267605634,284.0
"OLLA, LA → HUTCHINS, TX",2,5.0,3.783987915407855,331.0
"PLUMERVILLE, AR → MEMPHIS, TN",1,1.0,3.7837837837837838,185.0
"VIOLA, AR → SULPHUR SPRINGS, TX",1,3.0,3.7783375314861463,397.0
"DERIDDER, LA → BRYAN, TX",1,1.0,3.7777777777777777,225.0
"LUBBOCK, TX → BRYAN, TX",1,2.0,3.7733644859813085,428.0
"PLUMERVILLE, AR → FT WORTH, TX",1,1.0,3.772378516624041,391.0
"GLOSTER, MS → TOCCOA, GA",1,7.0,3.7713310580204777,586.0
"PINELAND, TX → HUTTO, TX",3,5.666666666666667,3.76984126984127,252.0
"BIRMINGHAM, AL → SALISBURY, NC",7,6.142857142857143,3.7698412698412693,432.0
"MONTICELLO, AR → HUTCHINS, TX",1,6.0,3.7648809523809526,336.0
"MERIDIAN, MS → JACKSON, TN",6,2.3333333333333335,3.7644787644787647,259.0
"EL DORADO, AR → IRVING, TX",1,2.0,3.7632508833922262,283.0
"CARTHAGE, AR → MEMPHIS, TN",1,1.0,3.762135922330097,206.0
"COTTONTON, AL → BIRMINGHAM, AL",5,1.8,3.761674418604651,172.0
"BRUCE, MS → ARCOLA, IL",1,3.0,3.757828810020877,479.0
"ALAPAHA, GA → SARASOTA, FL",1,1.0,3.7576687116564416,326.0
"SUMMERTOWN, TN → CEDAR SPRINGS, GA",4,5.0,3.756476683937824,386.0
"THOMASVILLE, AL → MORRISTOWN, TN",1,4.0,3.7556053811659194,446.0
"ATOKA, OK → MIDLAND, TX",1,2.0,3.7556053811659194,446.0
"ACKERMAN, MS → WEST MONROE, LA",2,2.5,3.755364806866953,233.0
"PHILADELPHIA, MS → RANBURNE, AL",21,4.904761904761905,3.753490921548475,278.0
"WARREN, AR → JACKSONVILLE, TX",3,3.6666666666666665,3.7516600265604247,251.0
"BUCKS, AL → ACWORTH, GA",3,4.666666666666667,3.7511870845204176,351.0
"VICKSBURG, MS → BIRMINGHAM, AL",18,1.4444444444444444,3.7510134099616863,290.0
"BIRMINGHAM, AL → MOSCOW, TN",4,5.5,3.75,220.0
"OLLA, LA → TUNAS, MO",1,10.0,3.75,480.0
"BRUCE, MS → SHEPHERDSVILLE, KY",1,2.0,3.747072599531616,427.0
"CARRSVILLE, KY → VINCENT, AL",1,1.0,3.7463976945244957,347.0
"BRUCE, MS → RANBURNE, AL",14,5.357142857142857,3.7462006079027352,282.0
"MERIDIAN, MS → HUTCHINS, TX",1,1.0,3.7449392712550607,494.0
"MANSFIELD, AR → PINE BLUFF, AR",3,4.0,3.7448205128205125,195.0
"DODSON, LA → SAGINAW, TX",1,4.0,3.7425149700598803,334.0
"MADISON, GA → ANNISTON, AL",1,1.0,3.742138364779874,159.0
"OLLA, LA → GENTRY, AR",1,8.0,3.741496598639456,441.0
"OLA, AR → MIDDLETON, TN",1,14.0,3.7413793103448274,290.0
"GURDON, AR → MOSCOW, TN",3,1.3333333333333333,3.7408759124087587,274.0
"FLORIEN, LA → PARIS, TX",1,1.0,3.7393162393162394,234.0
"ABBEVILLE, AL → BIRMINGHAM, AL",2,0.5,3.7373737373737375,198.0
"COUSHATTA, LA → SILSBEE, TX",1,6.0,3.735632183908046,174.0
"FLORIEN, LA → PORT ALLEN, LA",4,3.0,3.7351224132081873,253.25
"WAYNESBORO, MS → FLINTVILLE, TN",1,1.0,3.7347560975609757,328.0
"GLOSTER, MS → FORT WORTH, TX",3,2.3333333333333335,3.734439834024896,482.0
"LOUISVILLE, AL → ABINGDON, VA",1,1.0,3.732809430255403,509.0
"BRYAN, TX → SNYDER, TX",14,4.214285714285714,3.732427360774818,354.0
"GLENWOOD, AR → DALLAS, TX",1,3.0,3.7313432835820897,268.0
"WOOD DALE, IL → OTTAWA LAKE, MI",1,1.0,3.7313432835820897,268.0
"MANSFIELD, AR → PARK CITY, KS",1,6.0,3.7280701754385963,342.0
"PINELAND, TX → KATY, TX",1,1.0,3.723404255319149,188.0
"VICKSBURG, MS → BONHAM, TX",2,5.5,3.723404255319149,376.0
"BRYAN, TX → CAROLLTON, TX",10,2.8,3.7222222222222223,189.0
"BIRMINGHAM, AL → OLIVE BRANCH, MS",3,2.6666666666666665,3.721461187214612,219.0
"OLLA, LA → MCPHERSON, KS",1,11.0,3.71900826446281,726.0
"VICKSBURG, MS → DALLAS, TX",12,4.333333333333333,3.7189563774255383,369.0833333333333
"BREWTON, AL → FLINTVILLE, TN",1,4.0,3.7151702786377707,323.0
"OLLA, LA → SAGINAW, TX",3,5.666666666666667,3.714912280701754,380.0
"TAYLOR, LA → PORT NECHES, TX",8,6.25,3.7135214007782107,257.0
"BIRMINGHAM, AL → FITZGERALD, GA",3,5.0,3.7125748502994007,334.0
"MILLPORT, AL → BOWLING GREEN, KY",2,1.5,3.7096774193548385,310.0
"ABERDEEN, MS → TOCCOA, GA",1,1.0,3.708791208791209,364.0
"COUSHATTA, LA → DENISON, TX",1,8.0,3.7072243346007605,263.0
"DODSON, LA → FORT WORTH, TX",1,6.0,3.7066246056782335,317.0
"BIRMINGHAM, AL → MEMPHIS, TN",64,3.328125,3.705892982583678,237.6875
"ZWOLLE, LA → BELLVILLE, TX",1,3.0,3.7037037037037037,243.0
"VIOLA, AR → MONROE, LA",1,1.0,3.7037037037037037,324.0
"MOUNDVILLE, AL → RIPLEY, TN",1,7.0,3.7037037037037037,297.0
"MAGNOLIA, MS → GROVETON, TX",1,1.0,3.7037037037037037,378.0
"TAYLOR, LA → FT WORTH, TX",36,3.111111111111111,3.702096090437843,263.6388888888889
"COUSHATTA, LA → BRYAN, TX",9,2.6666666666666665,3.698210922787194,236.0
"RUSSELLVILLE, AR → PARK CITY, KS",6,6.5,3.6975954861111116,384.0
"WARREN, AR → BLOOMFIELD, IA",1,18.0,3.697478991596639,595.0
"THOMASVILLE, AL → EAST POINT, GA",6,2.6666666666666665,3.697383390216155,293.0
"GURDON, AR → GRAND PRAIRIE, TX",2,1.0,3.696498054474708,257.0
"OLLA, LA → PORTER, OK",1,5.0,3.6956521739130435,460.0
"EL DORADO, AR → DALLAS, TX",2,1.5,3.695255474452555,274.0
"MILLPORT, AL → MOSCOW, TN",1,6.0,3.6931818181818183,176.0
"BRYAN, TX → SKIDMORE, TX",2,5.0,3.6915887850467293,214.0
"DODSON, LA → BRYAN, TX",8,9.125,3.6897321428571432,280.0
"MOUNDVILLE, AL → AUBURN, KY",11,3.8181818181818183,3.688756726139903,321.0
"GLOSTER, MS → JACKSONVILLE, TX",2,4.5,3.6875,320.0
"MARSHALL, TX → FERRIDAY, LA",3,1.0,3.687315634218289,226.0
"GORDO, AL → AUBURN, KY",4,5.5,3.6849710982658963,346.0
"BRYAN, TX → EASTLAND, TX",1,14.0,3.6830357142857144,224.0
"MAGNOLIA, MS → MOSCOW, TN",1,3.0,3.6809815950920246,326.0
"HERMANVILLE, MS → SILSBEE, TX",6,5.333333333333333,3.6799768518518516,288.0
"BIRMINGHAM, AL → GRENADA, MS",1,8.0,3.6796536796536796,231.0
"PHILADELPHIA, MS → CARROLLTON, GA",1,2.0,3.678929765886288,299.0
"CARRSVILLE, KY → RENSSELAER, IN",1,7.0,3.678474114441417,367.0
"WALDO, AR → BURLESON, TX",1,1.0,3.676470588235294,272.0
"ENNIS, TX → LUBBOCK, TX",2,5.0,3.676470588235294,391.0
"FLORIEN, LA → ELMENDORF, TX",1,1.0,3.676470588235294,408.0
"BRYAN, TX → ROBSTOWN, TX",1,14.0,3.676470588235294,238.0
"MOYIE SPRINGS, ID → KUNA, ID",2,4.0,3.675925925925926,540.0
"TAYLOR, LA → AUSTIN, TX",6,5.333333333333333,3.6744505494505493,364.0
"WAYNESBORO, MS → EAST POINT, GA",1,1.0,3.674351585014409,347.0
"NEW BOSTON, TX → FORT WORTH, TX",1,4.0,3.673469387755102,196.0
"TALLADEGA, AL → NASHVILLE, TN",11,3.090909090909091,3.6727888446215142,251.0
"CAMDEN, TX → DALLAS, TX",1,4.0,3.669724770642202,218.0
"TAYLOR, LA → IRVING, TX",8,1.375,3.669605809128631,241.0
"FOREST, MS → ARMOREL, AR",1,1.0,3.6690647482014387,278.0
"CAMDEN, TX → WICHITA FALLS, TX",1,1.0,3.6684782608695654,368.0
"ALBERTVILLE, AL → HARRISBURG, IL",2,4.5,3.666666666666667,360.0
"WARM SPRINGS, AR → NORTH BIRMINGHAM, AL",1,1.0,3.6666666666666665,360.0
"GLOSTER, MS → AUSTIN, TX",1,2.0,3.6659877800407332,491.0
"PHILADELPHIA, MS → ARMOREL, AR",2,2.0,3.6654135338345863,266.0
"GURDON, AR → FT WORTH, TX",11,2.0,3.663862827563895,281.0
"VANCE, AL → SELMER, TN",1,4.0,3.663793103448276,232.0
"MOUNDVILLE, AL → BULLARD, TX",1,4.0,3.6633663366336635,505.0
"OAKDALE, LA → SHERMAN, TX",2,3.0,3.6616161616161618,396.0
"BRYAN, TX → SWEETWATER, TX",4,3.75,3.661111111111111,315.0
"HENDERSON, TX → FT WORTH, TX",1,7.0,3.659217877094972,179.0
"CHOPIN, LA → BRYAN, TX",55,4.545454545454546,3.6588316626339474,263.0
"GLOSTER, MS → SAGINAW, TX",5,2.2,3.6570247933884303,484.0
"MILLPORT, AL → TRENTON, TN",1,1.0,3.65296803652968,219.0
"GLOSTER, MS → SPRINGFIELD, MO",2,6.5,3.652751423149905,527.0
"HOLDEN, LA → SPRINGFIELD, MO",2,2.5,3.6517719568567024,649.0
"NACOGDOCHES, TX → SEGUIN, TX",2,3.0,3.651018099547511,272.5
"MERIDIAN, MS → MORRISTOWN, TN",1,3.0,3.650442477876106,452.0
"GURDON, AR → RIPLEY, TN",1,6.0,3.6496350364963503,274.0
"FLORIEN, LA → SHERMAN, TX",1,0.0,3.6490683229813663,322.0
"BIRMINGHAM, AL → LOUISVILLE, KY",3,2.3333333333333335,3.6482504604051567,362.0
"DIERKS, AR → WINFIELD, KS",1,5.0,3.6461126005361932,373.0
"JOYCE, LA → DALLAS, TX",1,5.0,3.6458333333333335,288.0
"MOUNDVILLE, AL → WHITEVILLE, TN",2,1.5,3.6458333333333335,240.0
"PINELAND, TX → SEGUIN, TX",3,5.0,3.6458333333333335,320.0
"FOREST, MS → AUBURN, KY",2,4.0,3.644646924829157,439.0
"ACKERMAN, MS → AUBURN, KY",7,5.428571428571429,3.6443932411674345,372.0
"GLOSTER, MS → NORTHPORT, AL",2,1.0,3.6440677966101696,295.0
"ACKERMAN, MS → STEPHENS, AR",8,3.0,3.643867924528302,265.0
"MERIDIAN, MS → GROESBECK, TX",1,8.0,3.641732283464567,508.0
"POCAHONTAS, AR → MONROE, LA",2,3.0,3.640776699029126,309.0
"LEWISVILLE, AR → SAGINAW, TX",1,1.0,3.6381322957198443,257.0
"DODSON, LA → SHERMAN, TX",1,7.0,3.637770897832817,323.0
"BRUCE, MS → HUTCHINS, TX",1,7.0,3.6363636363636362,550.0
"NACOGDOCHES, TX → PORT ALLEN, LA",1,1.0,3.6363636363636362,330.0
"BRYAN, TX → PARIS, TX",2,2.5,3.6341463414634143,246.0
"WARM SPRINGS, AR → HEWITT, TX",1,11.0,3.633217993079585,578.0
"TAHLEQUAH, OK → LUBBOCK, TX",5,1.8,3.633136094674556,507.0
"NEW BOSTON, TX → CONROE, TX",1,5.0,3.6329588014981273,267.0
"BAY SPRINGS, MS → MEMPHIS, TN",1,6.0,3.6324786324786325,234.0
"VIOLA, AR → FULTON, MS",2,9.0,3.6324041811846692,287.0
"TALLADEGA, AL → LEBANON, TN",1,1.0,3.629032258064516,248.0
"BRYAN, TX → JUSTIN, TX",8,2.625,3.6280487804878048,205.0
"WARRENTON, GA → MEDLEY, FL",1,5.0,3.6277602523659307,634.0
"OLLA, LA → LA PORTE, TX",4,3.25,3.6272727272727274,275.0
"GURDON, AR → CROWLEY, TX",3,3.0,3.625730994152047,285.0
"STEELVILLE, MO → GLENPOOL, OK",1,3.0,3.6253776435045317,331.0
"PHILADELPHIA, MS → MT PLEASANT, TX",1,14.0,3.625,400.0
"MILLPORT, AL → POLLARD, AR",1,3.0,3.622950819672131,305.0
"FOREST, MS → RANBURNE, AL",3,7.333333333333333,3.622222222222222,300.0
"GURDON, AR → GRAHAM, TX",1,1.0,3.6211699164345403,359.0
"TAYLOR, LA → SHERMAN, TX",4,5.75,3.619888475836431,269.0
"DODSON, LA → TULSA, OK",5,9.4,3.6191536748329627,449.0
"DIERKS, AR → HUTCHINS, TX",1,3.0,3.6184210526315788,228.0
"CAMDEN, TX → FT WORTH, TX",2,2.0,3.617886178861789,246.0
"MOUNDVILLE, AL → TUSCUMBIA, AL",1,14.0,3.617021276595745,141.0
"BRYAN, TX → SILSBEE, TX",11,3.5454545454545454,3.615253641386238,181.0
"CORINTH, MS → SHEPHERDSVILLE, KY",1,4.0,3.6144578313253013,332.0
"CORINTH, MS → JACKSONVILLE, TX",1,2.0,3.612167300380228,526.0
"DIBOLL, TX → SAGINAW, TX",2,2.5,3.611111111111111,225.0
"BIRMINGHAM, AL → BONNE TERRE, MO",1,1.0,3.6077235772357725,492.0
"GURDON, AR → CASSVILLE, MO",2,6.0,3.6062538699690405,323.0
"PINELAND, TX → SAGINAW, TX",4,2.0,3.6037454545454546,275.0
"VICKSBURG, MS → NORTHPORT, AL",1,3.0,3.6016949152542375,236.0
"PHILADELPHIA, MS → JACKSONVILLE, TX",30,3.066666666666667,3.6004520884520885,407.0
"LEWISVILLE, AR → EXETER, MO",1,7.0,3.6,375.0
"WILKESBORO, NC → HARTWELL, GA",3,3.3333333333333335,3.599374021909233,213.0
"PLUMERVILLE, AR → DENTON, TX",1,8.0,3.5989717223650386,389.0
"MERIDIAN, MS → MEMPHIS, TN",1,3.0,3.5970464135021096,237.0
"DODSON, LA → DALLAS, TX",5,1.4,3.5960394746734514,282.8
"HERMANVILLE, MS → BIRMINGHAM, AL",1,2.0,3.595890410958904,292.0
"HOUSTON, TX → LONGVIEW, TX",4,1.25,3.5945595854922283,193.0
"TAYLOR, LA → CONROE, TX",5,1.2,3.5930232558139537,258.0
"MERIDIAN, MS → JACKSONVILLE, FL",1,0.0,3.591160220994475,543.0
"TAYLOR, LA → HOUSTON, TX",45,3.933333333333333,3.590905051038468,281.1777777777778
"FULTON, MS → DENISON, TX",1,9.0,3.5906642728904847,557.0
"WARREN, AR → FLORENCE, TX",1,8.0,3.5902004454342986,449.0
"PINELAND, TX → DALLAS, TX",28,2.392857142857143,3.5881464215871937,226.53571428571428
"FORDYCE, AR → BROWNWOOD, TX",1,6.0,3.5869565217391304,460.0
"VICKSBURG, MS → FT WORTH, TX",4,4.25,3.586185754762501,408.75
"POCAHONTAS, AR → GREELEY, CO",1,2.0,3.5860655737704916,976.0
"TALLADEGA, AL → SELMER, TN",1,0.0,3.585657370517928,251.0
"CAMDEN, TX → SAGINAW, TX",2,4.5,3.5852713178294575,258.0
"DIERKS, AR → ENNIS, TX",2,5.0,3.5852713178294575,258.0
"HATFIELD, AR → ENNIS, TX",1,6.0,3.5849056603773586,265.0
"DEQUINCY, LA → ENNIS, TX",1,3.0,3.5842293906810037,279.0
"MILLPORT, AL → DENTON, TX",2,10.5,3.5829307568438002,621.0
"CHAPMAN, AL → FROSTPROOF, FL",3,1.6666666666666667,3.5807291666666665,512.0
"TAYLORSVILLE, MS → SAGINAW, TX",2,5.5,3.5785288270377733,503.0
"MILLPORT, AL → ROCKVILLE, IN",2,3.0,3.5781544256120528,531.0
"THORSBY, AL → SELLERSBURG, IN",1,1.0,3.5714285714285716,420.0
"CORINTH, MS → CENTREVILLE, AL",1,3.0,3.5714285714285716,210.0
"IDABEL, OK → WICHITA, KS",4,10.25,3.571428571428571,378.0
"POCAHONTAS, AR → CATOOSA, OK",2,5.0,3.571428571428571,350.0
"MONROEVILLE, AL → MC INTYRE, GA",13,11.23076923076923,3.568607068607068,370.0
"GLOSTER, MS → BIRMINGHAM, AL",17,2.0,3.568149717514124,354.0
"NACOGDOCHES, TX → SCHULENBURG, TX",2,3.0,3.5638297872340425,235.0
"TAYLORSVILLE, MS → KAUFMAN, TX",1,1.0,3.5632183908045976,435.0
"GLOSTER, MS → ARMOREL, AR",1,1.0,3.5623409669211195,393.0
"EL DORADO, AR → POLLARD, AR",1,2.0,3.5620202020202023,297.0
"TAYLORSVILLE, MS → MT PLEASANT, TX",2,1.0,3.5620052770448547,379.0
"MONTICELLO, AR → FT WORTH, TX",1,1.0,3.5618279569892475,372.0
"MAGNOLIA, MS → RANBURNE, AL",5,6.0,3.5606796116504853,412.0
"WAYNESBORO, MS → IUKA, MS",1,1.0,3.5603112840466924,257.0
"VIOLA, AR → LONGVIEW, TX",3,1.0,3.55924978687127,391.0
"TAYLOR, LA → ALVARADO, TX",1,1.0,3.5580524344569286,267.0
"PLUMERVILLE, AR → DALLAS, TX",6,1.1666666666666667,3.556912852925494,356.0
"BUCKS, AL → HALEYVILLE, AL",2,4.0,3.556910569105691,246.0
"MEXIA, AL → RANBURNE, AL",13,3.923076923076923,3.556593406593407,280.0
"MAGNOLIA, MS → MIDDLETON, TN",4,10.75,3.5535714285714284,350.0
"SPLENDORA, TX → FT WORTH, TX",3,4.333333333333333,3.552123552123552,259.0
"VICKSBURG, MS → HUTCHINS, TX",1,2.0,3.551912568306011,366.0
"BAY SPRINGS, MS → CROWLEY, TX",1,4.0,3.5502958579881656,507.0
"ATLANTA, TX → FT WORTH, TX",14,2.5714285714285716,3.549833887043189,215.0
"BRYAN, TX → BONHAM, TX",2,1.5,3.549382716049383,243.0
"BOGALUSA, LA → ADAIR, OK",1,4.0,3.549382716049383,648.0
"GRENADA, MS → AUBURN, KY",2,11.5,3.5468319559228654,363.0
"EFFINGHAM, SC → RIDGEWAY, VA",2,9.5,3.546511627906977,215.0
"BRYAN, TX → BURNET, TX",1,6.0,3.5460992907801416,141.0
