Mill,Loads,AvgDaysToShip,AvgCostPerMile
"Potlatch Land & Lumber, LLC (Warren, AR)",11,5.181818181818182,3.3779267949814793
"Charles Ingram (Effingham, SC)",11,4.090909090909091,3.35711015646439
"Martin Kropf (Viola, AR)",25,3.12,3.3494782381052897
"Martco Limited Partnership - Plywood Div (Chopin, LA)",94,3.5638297872340425,3.3420143923448036
"Johnson Lumber Co, Inc (Spavinaw, OK)",7,3.5714285714285716,3.3408812363614624
"Doman Lumber (Magnolia, AR)",9,4.0,3.3380114561909537
"Anthony Timberlands, Inc (Malvern, AR)",15,5.333333333333333,3.3314387230100215
"Pinecrest Lbr / Green Bay Packaging (Plumerville, AR)",68,2.7941176470588234,3.33008083140073
"Triple E Trucking (Colfax, LA)",2,7.5,3.327402135231317
"Hunt Forest Products, LLC (Pollock, LA)",5,4.2,3.3226043971709003
"Yoder Hardwood (Verona, MO)",24,2.6666666666666665,3.3210601120618386
"Josiah Christner (Carrsville, KY)",11,2.5454545454545454,3.294444818603722
"Potlatch Land & Lumber, LLC (Ola, AR)",4,4.75,3.2832046688325165
"Doman Lumber (Russellville, AR)",17,4.117647058823529,3.2820497193184943
"Interfor US, Inc (Monticello, AR)",9,3.5555555555555554,3.280149094876259
"Anthony Timberlands, Inc (Bearden, AR)",30,5.333333333333333,3.275967588773987
"Georgia-Pacific Corp. (Mexia, AL)",39,3.769230769230769,3.272218531359563
"Snider Industries, LLP (Marshall, TX)",9,2.4444444444444446,3.258774666819101
"Great Southern Wood Preserving (Abbeville, AL)",29,3.8620689655172415,3.2190591923589666
"Warren Timbers Company, LLC (Warren, AR)",50,4.36,3.218669997499246
"Flowers Timber Company, Inc (Seven Springs, NC)",6,1.0,3.174706085753804
"West Fraser Mills Ltd. (Mc David, FL)",1,1.0,3.156498673740053
"RB Lumber Co, LLC dba DS Smith Riceboro Lumber (Riceboro, GA)",31,2.5161290322580645,3.1544105962741056
"Boise Cascade, LLC (Chapman, AL)",7,1.8571428571428572,3.1471062759648887
"Boise Cascade, LLC (Dallas, TX)",4,5.0,3.1334412605766437
"Weyerhaeuser NR Company (Holden, LA)",144,2.8958333333333335,3.100448534799895
"Dewey Hostetler (Salem, KY)",4,2.0,3.094093890664251
"Doman Lumber (Rison, AR)",2,7.5,3.073305597041462
"Hood Industries, Inc. (Bogalusa, LA)",104,2.4903846153846154,3.0412614117079118
"Georgia-Pacific Corp. (Fordyce, AR)",5,4.2,2.9984672283360503
"Vernon Kropf (Pocahontas, AR)",1,1.0,2.998065764023211
"International Forest Products (New Orleans, LA)",5,5.4,2.996515679442509
"Mark Twain Forest Products (Centerville, MO)",6,9.333333333333334,2.9863433667781494
"Clays Pallet Mill Inc (Pocahontas, AR)",5,1.2,2.9593810444874276
"Frizzell Sawmill (Salem, MO)",4,3.25,2.958106189634803
"D B Hostetler Sawmill (Warm Springs, AR)",5,4.4,2.9512976226431378
"Brand Wood Products, LLC (Steelville, MO)",1,1.0,2.936630602782071
"Brazos Forest Products, LP (Houston, TX)",2,2.0,2.9044117647058822
