mill,product,count
"Austell Forest Products Inc (Gordo, AL)",1x4 | #2 | 8ft,11
"Georgia-Pacific Corp. (Gurdon, AR)",2x4 | #2 | 8ft,1
"Georgia-Pacific Corp. (Gurdon, AR)",2x6 | #1 | 10ft,1
"Georgia-Pacific Corp. (Gurdon, AR)",2x6 | #1 | 14ft,1
"Georgia-Pacific Corp. (Gurdon, AR)",2x8 | #2 | 10ft,1
"Georgia-Pacific Corp. (Gurdon, AR)",4x4 | #2 | 8ft,1
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 10ft,20
"Georgia-Pacific Corp. (Mexia, AL)",4x4 | #2 | 8ft,5
"Georgia-Pacific Corp. (Mexia, AL)",4x4 | #2 | 10ft,4
"Georgia-Pacific Corp. (Mexia, AL)",4x4 | #2 | 12ft,4
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 12ft,4
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 14ft,4
"Georgia-Pacific Corp. (Mexia, AL)",4x4 | #2 | 14ft,3
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 16ft,3
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 20ft,3
"Georgia-Pacific Corp. (Mexia, AL)",4x4 | #2 | 16ft,2
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 18ft,1
"Georgia-Pacific Corp. (Mexia, AL)",4x6 | #2 | 8ft,1
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #2 | 10ft,21
"Georgia-Pacific Corp. (Pineland, TX)",2x8 | #2 | 18ft,10
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #2 | 16ft,5
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #1 | 16ft,4
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #2 | 8ft,4
"Georgia-Pacific Corp. (Pineland, TX)",2x8 | #2 | 20ft,4
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #2 | 14ft,3
"Georgia-Pacific Corp. (Pineland, TX)",2x6 | #2 | 14ft,3
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #2 | 12ft,2
"Georgia-Pacific Corp. (Pineland, TX)",2x8 | #1 | 20ft,2
"Georgia-Pacific Corp. (Pineland, TX)",2x4 | #2 | 20ft,1
"Georgia-Pacific Corp. (Pineland, TX)",2x6 | #2 | 16ft,1
"Georgia-Pacific Corp. (Pineland, TX)",2x6 | #2 | 20ft,1
"Georgia-Pacific Corp. (Rome, GA)",2x6 | #2 | 8ft,2
"Georgia-Pacific Corp. (Rome, GA)",2x4 | #2 | 20ft,1
"Georgia-Pacific Corp. (Warrenton, GA)",2x6 | #2 | 8ft,17
