mill,profitable_index_relative,total_index_relative_margin,avg_index_relative_margin,median_index_relative_margin,n_rows,n_ok_matches,top_selling_product,top_selling_volume_or_count,best_product_by_index_margin,best_product_total_index_margin,worst_product_by_index_margin,worst_product_total_index_margin
"Interfor US, Inc (Baxley, GA)",False,-153.08386462640607,-13.916714966036915,-18.263888888889028,16,11,2x4 | #4 | 6ft,5,2x4 | #4 | 14ft,15.000515198350996,2x8 | #3 | 10ft,-69.82659837666603
"Rex Lumber Troy, LLC (Troy, AL)",False,-159.13050891258106,-14.466409901143733,5.869565217390999,11,11,2x6 | #4 | 8ft,5,2x6 | #4 | 8ft,54.99992587002794,2x6 | #3 | 14ft,-55.0
"Canfor Southern Pine (Strong, AR)",False,-179.59514634441197,-9.97750813024511,-12.5,18,18,2x12 | #4 | 8ft,3,2x12 | #4 | 8ft,82.500005859375,2x10 | #4 | 10ft,-94.699342656726
"Hatfield Lumber Co (Hatfield, AR)",False,-191.64306640625,-191.64306640625,-191.64306640625,2,1,2x12 | #4 | <NA>ft,1,2x12 | #4 | <NA>ft,0.0,2x6 | #3 | 16ft,-191.64306640625
"Canfor Southern Pine (Fulton, AL)",False,-212.49000924910914,-4.426875192689773,-2.5002197265625057,74,48,2x4 | #3 | 8ft,7,2x12 | #3 | 12ft,95.00002191840198,2x10 | #4 | 8ft,-116.91903121739702
"Binderholz Timber, LLC (New Orleans, LA)",False,-240.0,-40.0,-40.0,6,6,2x12 | #3 | 12ft,5,2x12 | #3 | 10ft,-40.0,2x12 | #3 | 12ft,-200.0
"Interfor US, Inc (Monticello, AR)",False,-296.17443732061497,-13.462474423664316,-12.476894488834006,26,22,2x4 | #4 | 8ft,17,2x4 | #4 | 10ft,74.78840712429499,2x4 | #4 | 8ft,-265.6333921690939
"West Fraser Mills Ltd (Joyce, LA)",False,-355.3736375856729,-12.691915628059746,-10.0,29,28,2x8 | #3 | 8ft,4,2x8 | #3 | 8ft,20.000006098691017,2x10 | #4 | 8ft,-85.03752180028101
"Chickasaw Lumber Company, LLC (Navasota, TX)",False,-365.0,-365.0,-365.0,4,1,4x4 | #4 | 7ft,3,4x4 | #4 | 7ft,0.0,2x6 | #4 | 12ft,-365.0
"Interfor US, Inc (Belk, AL)",False,-369.97935884785585,-6.065235390948456,-5.030909247015984,88,61,2x4 | #4 | 8ft,14,2x4 | #4 | 8ft,147.10877165716408,2x4 | #4 | 10ft,-171.86719783068196
