Mill,AvgDaysOnReadyList,PctShippedToCustomers,PctShippedToPlants,AvgGrossMargin_Customers,AvgGrossMarginPct_Customers,TotalLoads
"Jadwin Lumber Company, LLC (Salem, MO)",5.108695652173913,100.0,0.0,1803.669254516152,19.42780120710769,48
"Jasper Lumber Co, Inc (Jasper, AL)",7.833333333333333,83.33333333333334,16.666666666666657,831.6016189832253,7.935245093153848,6
"Johnson Lumber Co, Inc (Spavinaw, OK)",5.714285714285714,100.0,0.0,3101.515945940217,25.90219837240029,7
"Jordan Lumber & Supply, Inc (Mt. Gilead, NC)",3.0,100.0,0.0,1262.4800000000002,24.682494994995,1
"Joseph Swartzentruber (Salem, AR)",3.0,100.0,0.0,1635.8404639999992,20.229027983758115,2
"Josiah Christner (Carrsville, KY)",5.2727272727272725,100.0,0.0,1933.2290909090907,21.471355344714556,11
"K&R Sawmill (Viola, AR)",8.924528301886792,100.0,0.0,1360.0891389492808,16.44036643132628,53
"King Lumber - Lincoln Lumber Miss. LLC DBA (Forest, MS)",7.333333333333333,100.0,0.0,537.740577074279,3.8081989100679223,3
"KyKenKee, Inc (Vance, AL)",4.555555555555555,88.88888888888889,11.111111111111114,1617.257707525692,13.313356261039527,9
"LaSalle Lumber Company, LLC (Olla, LA)",10.25,97.56944444444444,2.430555555555557,749.7628433536747,8.150881841661429,288
"Langdale Forest Products Co (Barnesville, GA)",3.3333333333333335,66.66666666666666,33.33333333333334,337.35999999999973,4.078964077654488,3
"Larry Conway Sawmill, Inc. (Steelville, MO)",3.0,100.0,0.0,738.4000000000011,8.913224018386554,1
"Leesville Lumber (Leesville, LA)",5.0,100.0,0.0,376.22053000000005,5.295397675050355,1
"Lincoln Lumber Co, Inc (Brookhaven, MS)",1.6666666666666667,100.0,0.0,2027.6581818509196,12.86951362641872,3
"Littrell Lumber Mill, Inc (Decatur, AL)",2.2,100.0,0.0,1327.4646559999999,15.07856697462314,5
"Lone Star Packaging Solutions (Ennis, TX)",2.3157894736842106,94.73684210526315,5.26315789473685,3111.144079673768,31.17732707184495,19
"Louisiana - Pacific Corp. (Carthage, TX)",0.0,100.0,0.0,14741.78,95.43866055000731,1
"Lufkin Distrib & Supply, Inc DBA Neches Lumber Co (Nacogdoches, TX)",4.142857142857143,100.0,0.0,1650.9868820565819,16.887548697302798,7
"M C Dixon Lumber Co, Inc (Eufaula, AL)",13.0,100.0,0.0,2180.9013896089414,17.373199356257622,1
"MK Hardwoods, LLC (Middlefield, OH)",3.0,100.0,0.0,2017.7703431733607,20.52187151380152,2
"Magnolia Forest Products (Carrollton, GA)",5.7,100.0,0.0,4988.097254044793,24.22393207677471,10
"Magnolia Forest Products (Lewisville, AR)",6.1,100.0,0.0,1142.6819890555796,13.57222754936421,10
"Mark Twain Forest Products (Centerville, MO)",7.833333333333333,100.0,0.0,1730.5833333333337,13.85137573653199,6
"Martco Limited Partnership - Plywood Div (Chopin, LA)",10.095744680851064,35.1063829787234,64.8936170212766,1922.2039530239376,18.464761257450675,94
"Martin Kropf (Viola, AR)",5.64,92.0,8.0,1962.0759354319657,21.541756276374297,25
"McShan Lumber Company, Inc. (Mc Shan, AL)",3.3333333333333335,100.0,0.0,1669.9199999999998,25.276339574644776,3
"McVantage Packaging, LLC (Tuscumbia, AL)",3.1379310344827585,100.0,0.0,1796.5020451811956,17.002780650515977,88
"Meadwestvaco Corporation (Cottonton, AL)",6.2,75.0,25.0,1132.4214186666666,11.263170544774347,20
"Mid South Lumber, Inc (Meridian, MS)",12.35483870967742,79.03225806451613,20.967741935483872,705.7344811547008,7.088294673059487,62
"Mission Forest Products, LP (Corinth, MS)",8.580246913580247,95.67901234567901,4.320987654320987,997.4062394720307,11.573450074151562,162
"Mountain Timber, Inc (Hector, AR)",7.5,100.0,0.0,370.2133333333336,6.794371102635174,6
"National Salvage & Service Corporation (Deridder, LA)",12.0,100.0,0.0,1295.3007843137254,24.031829199338116,1
"National Salvage & Service Corporation (Hondo, TX)",2.0,100.0,0.0,245.24000000000018,10.886008522727279,1
"National Salvage & Service Corporation (Vanderbilt, TX)",6.0,100.0,0.0,1190.88,29.074218750000004,1
"Norbord Industries Inc. (Cordele, GA)",1.0,100.0,0.0,10862.08,93.5225237636038,1
"Norbord Industries Inc. (Kinards, SC)",2.5,100.0,0.0,5886.9800000000005,60.483145453991426,4
"Pallets Ready, LLC (Summertown, TN)",10.0,100.0,0.0,2893.509790952027,30.281059888693505,9
"Park Falls Hardwood (Park Falls, WI)",4.0,100.0,0.0,211.99874000157524,2.944430625000003,1
"Pinecrest Lbr / Green Bay Packaging (Plumerville, AR)",8.985294117647058,57.35294117647059,42.64705882352941,1234.3346938950976,9.932447680890164,68
"Pollard Lumber Co, Inc (Appling, GA)",0.0,100.0,0.0,973.9000000000015,10.154946613279959,1
"Potlatch Land & Lumber, LLC (Ola, AR)",8.75,75.0,25.0,1095.6266666666672,11.777934732537517,4
"Potlatch Land & Lumber, LLC (Waldo, AR)",8.25,91.66666666666666,8.333333333333343,847.9618702706813,9.01565786522582,12
"Potlatch Land & Lumber, LLC (Warren, AR)",10.181818181818182,100.0,0.0,796.797638,8.158659656386499,11
"Prater Hardwood Products Inc (Wyandotte, OK)",4.0,100.0,0.0,-778.6892721098204,-7.136369319922073,1
"RB Lumber Co, LLC dba DS Smith Riceboro Lumber (Riceboro, GA)",2.4516129032258065,100.0,0.0,495.47806451612865,4.04865877981007,31
