region,grade,dimension,length,transaction_date,price
Central,1,2x10,14,2024-10-11,395.0
Central,1,2x10,14,2024-10-18,390.0
Central,1,2x10,14,2024-10-25,390.0
Central,1,2x10,14,2024-11-01,390.0
Central,1,2x10,14,2024-11-08,385.0
Central,1,2x10,14,2024-11-15,375.0
Central,1,2x10,14,2024-11-22,360.0
Central,1,2x10,14,2024-11-27,350.0
Central,1,2x10,14,2024-12-06,345.0
Central,1,2x10,14,2024-12-13,345.0
Central,1,2x10,14,2024-12-20,355.0
Central,1,2x10,14,2025-01-03,370.0
Central,1,2x10,14,2025-01-10,345.0
Central,1,2x10,14,2025-01-17,350.0
Central,1,2x10,14,2025-01-24,350.0
Central,1,2x10,14,2025-01-31,350.0
Central,1,2x10,14,2025-02-07,355.0
Central,1,2x10,14,2025-02-14,365.0
Central,1,2x10,14,2025-02-21,365.0
Central,1,2x10,14,2025-02-28,365.0
Central,1,2x10,14,2025-03-07,370.0
Central,1,2x10,14,2025-03-14,370.0
Central,1,2x10,14,2025-03-21,380.0
Central,1,2x10,14,2025-03-28,385.0
Central,1,2x10,14,2025-04-04,400.0
Central,1,2x10,14,2025-04-11,420.0
Central,1,2x10,14,2025-04-18,445.0
Central,1,2x10,14,2025-04-25,465.0
Central,1,2x10,14,2025-05-02,475.0
Central,1,2x10,14,2025-05-09,480.0
Central,1,2x10,14,2025-05-16,480.0
Central,1,2x10,14,2025-05-23,465.0
Central,1,2x10,14,2025-05-30,450.0
Central,1,2x10,14,2025-06-06,440.0
Central,1,2x10,14,2025-06-13,430.0
Central,1,2x10,14,2025-06-19,410.0
Central,1,2x10,14,2025-06-27,390.0
Central,1,2x10,14,2025-07-03,385.0
Central,1,2x10,14,2025-07-11,385.0
Central,1,2x10,14,2025-07-18,390.0
Central,1,2x10,14,2025-07-25,395.0
Central,1,2x10,14,2025-08-01,390.0
Central,1,2x10,14,2025-08-08,385.0
Central,1,2x10,14,2025-08-15,370.0
Central,1,2x10,14,2025-08-22,360.0
Central,1,2x10,14,2025-08-29,340.0
Central,1,2x10,14,2025-09-05,325.0
Central,1,2x10,14,2025-09-12,330.0
Central,1,2x10,14,2025-09-19,335.0
Central,1,2x10,14,2025-09-26,340.0
Central,1,2x10,14,2025-10-03,350.0
Central,1,2x10,14,2025-10-10,360.0
Central,1,2x10,14,2025-10-17,360.0
Central,1,2x10,16,2024-01-12,385.0
Central,1,2x10,16,2024-01-18,375.0
Central,1,2x10,16,2024-01-25,355.0
Central,1,2x10,16,2024-02-08,335.0
Central,1,2x10,16,2024-02-15,345.0
Central,1,2x10,16,2024-02-22,355.0
Central,1,2x10,16,2024-02-29,355.0
Central,1,2x10,16,2024-03-07,365.0
Central,1,2x10,16,2024-03-14,365.0
Central,1,2x10,16,2024-03-21,365.0
Central,1,2x10,16,2024-03-28,365.0
Central,1,2x10,16,2024-04-04,365.0
Central,1,2x10,16,2024-04-11,360.0
Central,1,2x10,16,2024-04-18,350.0
Central,1,2x10,16,2024-04-25,355.0
Central,1,2x10,16,2024-05-02,365.0
Central,1,2x10,16,2024-05-09,380.0
Central,1,2x10,16,2024-05-16,395.0
Central,1,2x10,16,2024-05-30,430.0
Central,1,2x10,16,2024-06-06,440.0
Central,1,2x10,16,2024-06-13,440.0
Central,1,2x10,16,2024-06-20,435.0
Central,1,2x10,16,2024-06-27,435.0
Central,1,2x10,16,2024-07-04,445.0
Central,1,2x10,16,2024-07-11,455.0
Central,1,2x10,16,2024-07-18,460.0
Central,1,2x10,16,2024-07-25,470.0
Central,1,2x10,16,2024-08-01,480.0
Central,1,2x10,16,2024-08-08,480.0
Central,1,2x10,16,2024-08-15,470.0
Central,1,2x10,16,2024-08-22,465.0
Central,1,2x10,16,2024-08-29,460.0
Central,1,2x10,16,2024-09-05,465.0
Central,1,2x10,16,2024-09-12,465.0
Central,1,2x10,16,2024-09-20,465.0
Central,1,2x10,16,2024-09-27,465.0
Central,1,2x10,16,2024-10-04,445.0
Central,1,2x10,16,2024-10-11,445.0
Central,1,2x10,16,2024-10-18,440.0
Central,1,2x10,16,2024-10-25,435.0
Central,1,2x10,16,2024-11-01,435.0
Central,1,2x10,16,2024-11-08,430.0
Central,1,2x10,16,2024-11-15,420.0
Central,1,2x10,16,2024-11-22,410.0
Central,1,2x10,16,2024-11-27,400.0
Central,1,2x10,16,2024-12-06,395.0
Central,1,2x10,16,2024-12-13,395.0
Central,1,2x10,16,2024-12-20,405.0
Central,1,2x10,16,2025-01-03,420.0
Central,1,2x10,16,2025-01-10,395.0
Central,1,2x10,16,2025-01-17,400.0
Central,1,2x10,16,2025-01-24,400.0
Central,1,2x10,16,2025-01-31,400.0
Central,1,2x10,16,2025-02-07,405.0
Central,1,2x10,16,2025-02-14,410.0
Central,1,2x10,16,2025-02-21,410.0
Central,1,2x10,16,2025-02-28,410.0
Central,1,2x10,16,2025-03-07,415.0
Central,1,2x10,16,2025-03-14,415.0
Central,1,2x10,16,2025-03-21,415.0
Central,1,2x10,16,2025-03-28,420.0
Central,1,2x10,16,2025-04-04,430.0
Central,1,2x10,16,2025-04-11,450.0
Central,1,2x10,16,2025-04-18,470.0
Central,1,2x10,16,2025-04-25,475.0
Central,1,2x10,16,2025-05-02,485.0
Central,1,2x10,16,2025-05-09,485.0
Central,1,2x10,16,2025-05-16,480.0
Central,1,2x10,16,2025-05-23,465.0
Central,1,2x10,16,2025-05-30,450.0
Central,1,2x10,16,2025-06-06,440.0
Central,1,2x10,16,2025-06-13,430.0
Central,1,2x10,16,2025-06-19,410.0
Central,1,2x10,16,2025-06-27,395.0
Central,1,2x10,16,2025-07-03,385.0
Central,1,2x10,16,2025-07-11,385.0
Central,1,2x10,16,2025-07-18,395.0
Central,1,2x10,16,2025-07-25,400.0
Central,1,2x10,16,2025-08-01,395.0
Central,1,2x10,16,2025-08-08,395.0
Central,1,2x10,16,2025-08-15,380.0
Central,1,2x10,16,2025-08-22,370.0
Central,1,2x10,16,2025-08-29,350.0
Central,1,2x10,16,2025-09-05,340.0
Central,1,2x10,16,2025-09-12,335.0
Central,1,2x10,16,2025-09-19,340.0
Central,1,2x10,16,2025-09-26,345.0
Central,1,2x10,16,2025-10-03,350.0
Central,1,2x10,16,2025-10-10,360.0
Central,1,2x10,16,2025-10-17,370.0
Central,1,2x10,18,2024-01-12,385.0
Central,1,2x10,18,2024-01-18,385.0
Central,1,2x10,18,2024-01-25,385.0
Central,1,2x10,18,2024-02-08,385.0
Central,1,2x10,18,2024-02-15,385.0
Central,1,2x10,18,2024-02-22,385.0
Central,1,2x10,18,2024-02-29,385.0
Central,1,2x10,18,2024-03-07,385.0
Central,1,2x10,18,2024-03-14,385.0
Central,1,2x10,18,2024-03-21,380.0
Central,1,2x10,18,2024-03-28,380.0
Central,1,2x10,18,2024-04-04,380.0
Central,1,2x10,18,2024-04-11,375.0
Central,1,2x10,18,2024-04-18,375.0
Central,1,2x10,18,2024-04-25,365.0
Central,1,2x10,18,2024-05-02,370.0
Central,1,2x10,18,2024-05-09,380.0
Central,1,2x10,18,2024-05-16,395.0
Central,1,2x10,18,2024-05-30,430.0
Central,1,2x10,18,2024-06-06,440.0
Central,1,2x10,18,2024-06-13,440.0
Central,1,2x10,18,2024-06-20,435.0
Central,1,2x10,18,2024-06-27,415.0
Central,1,2x10,18,2024-07-04,400.0
Central,1,2x10,18,2024-07-11,400.0
Central,1,2x10,18,2024-07-18,400.0
Central,1,2x10,18,2024-07-25,405.0
Central,1,2x10,18,2024-08-01,410.0
Central,1,2x10,18,2024-08-08,410.0
Central,1,2x10,18,2024-08-15,400.0
Central,1,2x10,18,2024-08-22,390.0
Central,1,2x10,18,2024-08-29,385.0
Central,1,2x10,18,2024-09-05,390.0
Central,1,2x10,18,2024-09-12,385.0
Central,1,2x10,18,2024-09-20,385.0
Central,1,2x10,18,2024-09-27,385.0
Central,1,2x10,18,2024-10-04,365.0
Central,1,2x10,18,2024-10-11,365.0
Central,1,2x10,18,2024-10-18,360.0
Central,1,2x10,18,2024-10-25,360.0
Central,1,2x10,18,2024-11-01,355.0
Central,1,2x10,18,2024-11-08,350.0
Central,1,2x10,18,2024-11-15,340.0
Central,1,2x10,18,2024-11-22,330.0
Central,1,2x10,18,2024-11-27,320.0
Central,1,2x10,18,2024-12-06,315.0
Central,1,2x10,18,2024-12-13,315.0
Central,1,2x10,18,2024-12-20,325.0
Central,1,2x10,18,2025-01-03,340.0
Central,1,2x10,18,2025-01-10,315.0
Central,1,2x10,18,2025-01-17,320.0
Central,1,2x10,18,2025-01-24,320.0
Central,1,2x10,18,2025-01-31,310.0
Central,1,2x10,18,2025-02-07,315.0
Central,1,2x10,18,2025-02-14,320.0
Central,1,2x10,18,2025-02-21,325.0
Central,1,2x10,18,2025-02-28,325.0
Central,1,2x10,18,2025-03-07,330.0
Central,1,2x10,18,2025-03-14,325.0
Central,1,2x10,18,2025-03-21,325.0
Central,1,2x10,18,2025-03-28,330.0
Central,1,2x10,18,2025-04-04,350.0
Central,1,2x10,18,2025-04-11,370.0
Central,1,2x10,18,2025-04-18,390.0
Central,1,2x10,18,2025-04-25,400.0
Central,1,2x10,18,2025-05-02,410.0
Central,1,2x10,18,2025-05-09,415.0
Central,1,2x10,18,2025-05-16,410.0
Central,1,2x10,18,2025-05-23,400.0
Central,1,2x10,18,2025-05-30,385.0
Central,1,2x10,18,2025-06-06,380.0
Central,1,2x10,18,2025-06-13,380.0
